price,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy
$135.00,38.901502584542754,-77.01459088349478,Apartment,Entire home/apt,4,1.0,1.0,1.0,2,2,100.0,10.0,10.0,10.0,10.0,moderate
$87.00,38.904151661935956,-77.01505902184421,Apartment,Private room,3,2.0,1.0,2.0,2,2,80.0,8.0,8.0,8.0,6.0,strict
$210.00,38.89736639688875,-77.01793375748066,Apartment,Entire home/apt,4,1.0,1.0,1.0,1,103,92.0,10.0,10.0,10.0,9.0,strict
$300.00,38.90547365803351,-77.0205310809973,House,Entire home/apt,10,2.0,3.0,6.0,3,5,100.0,10.0,10.0,10.0,10.0,strict
$200.00,38.90453668168331,-77.01622817892505,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,1,100.0,10.0,10.0,10.0,10.0,flexible
$269.00,38.8989480272244,-77.03279295697669,Apartment,Entire home/apt,3,1.0,1.0,2.0,1,6,88.0,10.0,9.0,10.0,10.0,moderate
$120.00,38.90531783213974,-77.01514668170775,Apartment,Entire home/apt,4,2.0,2.0,2.0,1,3,93.0,9.0,9.0,10.0,7.0,moderate
$109.00,38.901571017760375,-77.0157497819597,Apartment,Private room,1,1.0,1.0,1.0,2,1,100.0,10.0,10.0,10.0,10.0,moderate
$150.00,38.905404620229966,-77.03050802237755,Apartment,Entire home/apt,3,1.0,1.0,1.0,2,4,90.0,10.0,9.0,10.0,10.0,strict
$95.00,38.9050436861595,-77.01880601080266,Apartment,Entire home/apt,3,1.0,1.0,1.0,2,70,81.0,8.0,9.0,9.0,9.0,flexible
$97.00,38.901587668495885,-77.01926964942484,Apartment,Private room,2,1.0,1.0,1.0,1,2,100.0,10.0,10.0,10.0,10.0,flexible
$99.00,38.90058573705118,-77.01418066713197,other,Private room,2,1.0,1.0,1.0,1,51,94.0,10.0,10.0,10.0,10.0,moderate
