;id;fecha;producto_latitud;producto_longitud;url;tipo_propiedad
51;MLA1374261407;22/11/2023;-34.4343843;-58.8305942;https://inmueble.mercadolibre.com.ar/MLA-1374261407-local-en-alquiler-de-90m2-officia-pilar-work-_JM;Local
52;MLA1374337163;22/11/2023;-34.5976835;-58.4264466;https://inmueble.mercadolibre.com.ar/MLA-1374337163-local-villa-crespo-_JM;Local
53;MLA1374609860;22/11/2023;-34.447016;-58.897431;https://inmueble.mercadolibre.com.ar/MLA-1374609860-local-en-alquiler-en-pilar-gba-zona-norte-_JM;Local
54;MLA1375605369;22/11/2023;-34.5997392;-58.3796113;https://inmueble.mercadolibre.com.ar/MLA-1375605369-local-en-centro-54-m2-apto-varios-rubros-_JM;Local
55;MLA1375701847;22/11/2023;-34.5490131;-58.4805149;https://inmueble.mercadolibre.com.ar/MLA-1375701847-venta-local-con-patio-parque-saavedra-_JM;Local
56;MLA1375889531;22/11/2023;-34.6235678;-58.3765925;https://inmueble.mercadolibre.com.ar/MLA-1375889531-local-en-san-telmo-800-m2-_JM;Local
57;MLA1375942304;22/11/2023;-34.5795698;-58.5353908;https://inmueble.mercadolibre.com.ar/MLA-1375942304-local-general-san-martin-_JM;Local
58;MLA1377614066;22/11/2023;-34.4028878;-58.6311887;https://inmueble.mercadolibre.com.ar/MLA-1377614066-alquiler-local-a-estrenar-sobre-ruta-27-tigre-rincon-de-milberg-nordelta-_JM;Local
59;MLA1378806577;22/11/2023;-34.5757523;-58.5370979;https://inmueble.mercadolibre.com.ar/MLA-1378806577-local-en-alquiler-en-esquina-_JM;Local
60;MLA1380303597;22/11/2023;-34.5416201;-58.5056031;https://inmueble.mercadolibre.com.ar/MLA-1380303597-alquiler-local-ofina-ubicacion-inmejorable-_JM;Local
61;MLA1383155363;22/11/2023;-34.3906695;-58.7840579;https://inmueble.mercadolibre.com.ar/MLA-1383155363-excelente-local-en-alquiler-sobre-av-san-martin-escobar-_JM;Local
62;MLA1383387591;22/11/2023;-34.6188214;-58.5015845;https://inmueble.mercadolibre.com.ar/MLA-1383387591-local-y-casa-3-ambientes-lote-propio-monte-castro-_JM;Local
